41,50000,-2456,82974,3483,-88366,83738,5728
42,51250,-2846,57645,35774,-99744,56623,43392
43,52500,-2837,23973,61210,-94382,20769,73505
44,53750,-2358,-14484,80080,-74554,-19531,93720
45,55000,-1421,-50300,86381,-44637,-56044,99865
46,56250,-211,-78982,81018,-6762,-83467,88708
47,57500,1058,-96510,65691,32049,-99104,65054
48,58750,2300,-99907,40136,64886,-99471,32875
49,60000,3222,-86103,10123,88774,-83431,-6161
50,61250,3615,-60755,-19857,99892,-56207,-43689
51,62500,3607,-27089,-45568,94155,-20211,-73549
52,63750,3123,11370,-64325,74018,20150,-93544
53,65000,2198,47186,-70669,44007,56502,-99412
54,66250,933,75868,-65290,6065,83671,-87940
55,67500,-411,93396,-49969,-32654,99010,-64096
56,68750,-1577,96794,-24413,-65380,99075,-31739
57,70000,-2446,82989,5598,-89125,82783,7369
58,71250,-2849,57642,35581,-99929,55406,44759
59,72500,-2837,23974,61292,-93898,19342,74439
60,73750,-2355,-14485,80049,-73515,-21050,94178
61,75000,-1429,-50299,86394,-43290,-57331,99764
62,76250,-165,-78977,81015,-5236,-84344,88060
63,77500,1178,-96518,65692,33459,-99386,63951
64,78750,2346,-99884,40136,65994,-99077,31427
65,80000,3212,-86128,10124,89482,-82561,-7695
66,81250,3623,-60732,-19853,99998,-54924,-45089
67,82500,3588,-25112,-45573,93631,-18657,-74609
68,83750,3019,11285,-64308,73090,21607,-94093
69,85000,2032,49573,-70688,42638,57668,-99231
70,86250,829,79085,-65270,4480,84520,-87200
71,87500,-429,93837,-48435,-34103,99408,-63051
72,88750,-1572,96668,-24499,-66484,98733,-30318
73,90000,-2446,83014,7512,-89795,81880,8918
74,91250,-2854,57724,37871,-99999,54134,46083
75,92500,-2820,21557,63738,-93300,17759,75413
76,93750,-2248,-17602,81200,-72544,-22537,94701
77,95000,-1266,-55098,86140,-41961,-58538,99575
78,96250,-20,-82106,81187,-3756,-85127,87274
79,97500,1209,-96925,63782,34762,-99780,62863
80,98750,2516,-99999,37775,66726,-98590,30302
81,100000,3445,-85428,7860,88737,-82126,-9706
82,101250,6608,-59165,-22053,67129,-53044,-44933
83,102500,14995,-25405,-48067,34968,-7912,-64457
84,103750,29359,10346,-65456,27646,33687,-84275
85,105000,43708,40873,-70470,18217,65532,-93707
86,106250,53040,66983,-65367,6444,86590,-84049
87,107500,52229,82329,-49998,-6350,95497,-63528
88,108750,38394,84603,-24310,-17856,90704,-35988
89,110000,9821,76239,3677,-29667,72572,200
90,111250,-26808,57824,33281,-35513,43353,35120
91,112500,-61784,30321,58934,-33153,6126,64230
92,113750,-87884,266,78721,-26864,-32823,85531
93,115000,-99999,-31399,88850,-17011,-65029,92274
94,116250,-96687,-59777,85793,-5085,-85465,82383
95,117500,-78109,-77487,69910,6730,-93763,63475
96,118750,-48045,-86501,45881,17107,-88989,36152
97,120000,-10396,-79223,16911,26270,-71583,757
98,121250,28743,-62421,-16490,32352,-43594,-33018
99,122500,63161,-36202,-45631,31780,-6973,-62107
100,123750,88400,-3057,-67598,26028,31793,-83809
101,125000,99998,28101,-79474,16770,63958,-91057
102,126250,96589,56855,-77057,4941,84191,-81512
103,127500,78406,76013,-60678,-6498,92027,-63132
104,128750,49018,84808,-33710,-16781,87400,-36164
105,130000,12070,79572,-963,-25977,70033,-1000
106,131250,-26355,60727,34512,-31733,42311,32818
107,132500,-60192,32749,65478,-30994,6354,61545
108,133750,-85013,222,87875,-25344,-31961,82972
109,135000,-96396,-31825,99998,-16172,-63980,90034
110,136250,-92986,-62886,96000,-4726,-83761,80954
111,137500,-75087,-82394,79071,6371,-91169,62732
112,138750,-46166,-89253,52967,16334,-86408,36099
113,140000,-9884,-84904,17269,24979,-69173,1303
114,141250,27853,-66926,-17410,20249,-42457,-33507
115,142500,61208,-38923,-52356,10664,-9295,-64069
116,143750,86200,-5009,-81276,8482,27972,-85215
117,145000,98247,31573,-98334,5694,60642,-91089
118,146250,95755,62475,-99999,2523,81818,-80663
119,147500,78197,85086,-83151,-479,90574,-61069
120,148750,49321,95333,-52389,-3351,86919,-32858
121,150000,12460,88068,-9970,-4590,69962,1142
122,151250,-23094,63886,33707,-1338,45367,34012
123,152500,-47779,29703,66581,162,16286,66742
124,153750,-57087,-7264,79329,-327,-19747,86433
125,155000,-53313,-37806,74759,-523,-51662,91488
126,156250,-40480,-53950,60345,-682,-76463,82670
127,157500,-23649,-56082,38268,-973,-91334,62757
128,158750,-9370,-49406,19816,-1190,-91402,33682
129,160000,-1874,-34307,12001,-1569,-76763,-2350
130,161250,251,-17168,9182,-1588,-53164,-38418
131,162500,298,-8346,7707,-849,-20310,-66978
132,163750,330,-6170,8042,494,17395,-86117
133,165000,367,-1882,7811,1725,50809,-92475
134,166250,382,-1545,7947,1116,71081,-82265
135,167500,383,-1614,6033,712,75903,-60935
136,168750,383,-1564,5359,758,77977,-31588
137,170000,383,-1567,7541,760,82445,5008
138,171250,383,-1557,7938,805,86895,40442
139,172500,383,-1558,7820,959,91294,68734
140,173750,383,-1557,7889,767,87127,87859
141,175000,383,-1557,7812,-737,76619,93338
142,176250,383,-1557,7952,-5045,67562,82746
143,177500,383,-1557,7659,-5140,55141,60730
144,178750,383,-1557,8922,-1777,42181,30642
145,180000,383,-1557,10566,-1671,29489,-6164
146,181250,383,-1557,8922,-1634,19902,-41325
147,182500,383,-1557,7659,-1758,9736,-69329
148,183750,383,-1557,7951,-1586,-99,-88293
149,185000,383,-1557,7822,-167,-6584,-94883
150,186250,383,-1557,7879,2365,-11619,-93605
151,187500,383,-1557,7858,4591,-17094,-89621
152,188750,383,-1557,7862,5691,-21538,-87309
153,190000,383,-1557,7861,5680,-23821,-65117
154,191250,383,-1557,7861,4635,-24449,-42210
155,192500,383,-1557,7861,2558,-23651,-49670
156,193750,383,-1557,7861,-192,-21876,-43852
157,195000,383,-1557,7861,-3076,-19798,-22720
158,196250,383,-1557,7861,-5846,-17775,-7824
159,197500,383,-1557,7861,-8025,-16136,-1277
160,198750,383,-1557,7861,-9077,-15187,2535
161,200000,383,-1557,7861,-9021,-14922,5848
162,201250,383,-1557,7861,-7888,-15352,10215
163,202500,383,-1557,7861,-5724,-16482,15921
164,203750,383,-1557,7861,-2877,-18086,27223
165,205000,383,-1557,7861,69,-19772,44745
166,206250,383,-1557,7861,2870,-21336,53431
167,207500,383,-1557,7861,5082,-22500,54739
168,208750,383,-1557,7861,6179,-22981,55720
169,210000,383,-1557,7861,6123,-22728,56622
170,211250,383,-1557,7861,5016,-21751,57259
171,212500,383,-1557,7861,2867,-20000,57431
172,213750,383,-1557,7861,91,-17692,57107
173,215000,383,-1557,7861,-2807,-15291,56133
174,216250,383,-1557,7861,-5573,-13040,54428
175,217500,383,-1557,7861,-7694,-11254,52426
176,218750,383,-1557,7861,-8692,-10144,49973
177,220000,383,-1557,7861,-8571,-9765,48004
178,221250,383,-1557,7861,-7366,-10171,42374
179,222500,383,-1557,7861,-5132,-11344,27368
180,223750,383,-1557,7861,-2282,-13023,25414
181,225000,383,-1557,7861,684,-14810,30189
182,226250,383,-1557,7861,3484,-16426,29584
183,227500,383,-1557,7861,5642,-17585,27055
184,228750,383,-1557,7861,6673,-18047,23566
185,230000,383,-1557,7861,6588,-17797,20088
186,231250,383,-1557,7861,5415,-16752,16810
187,232500,383,-1557,7861,3210,-14953,13812
188,233750,383,-1557,7861,417,-12706,10972
189,235000,383,-1557,7861,-2502,-10359,8115
190,236250,383,-1557,7861,-5266,-8164,5168
191,237500,383,-1557,7861,-7330,-6469,2200
192,238750,383,-1557,7861,-8285,-5458,-633
193,240000,383,-1557,7861,-8103,-5184,-3119
194,241250,383,-1557,7861,-6826,-5687,-5028
195,242500,383,-1557,7861,-4528,-6978,-6335
196,243750,383,-1557,7861,-1654,-8710,-6908
197,245000,383,-1557,7861,1328,-10546,-6599
198,246250,383,-1557,7861,4137,-12218,-5547
199,247500,383,-1557,7861,6253,-13372,-4147
200,248750,383,-1557,7861,7226,-13761,-2587
201,250000,383,-1557,7861,7079,-13202,-1033
202,251250,383,-1557,7861,5826,-11240,220
203,252500,383,-1557,7861,3557,-8495,1021
204,253750,383,-1557,7861,729,-6264,1387
205,255000,383,-1557,7861,-2190,-4546,1104
206,256250,383,-1557,7861,-4958,-2742,183
207,257500,383,-1557,7861,-6984,-892,-995
208,258750,383,-1557,7861,-7880,549,-2333
209,260000,383,-1557,7861,-7667,1275,-3685
210,261250,383,-1557,7861,-6342,1129,-4764
211,262500,383,-1557,7861,-3980,87,-5374
212,263750,383,-1557,7861,-1096,-1376,-5484
213,265000,383,-1557,7861,1860,-2864,-4961
214,266250,383,-1557,7861,4689,-4152,-3803
215,267500,383,-1557,7861,6751,-4917,-2340
216,268750,383,-1557,7861,7662,-5102,-767
217,270000,383,-1557,7861,7467,-4801,772
218,271250,383,-1557,7861,6147,-3942,2004
219,272500,383,-1557,7861,3764,-2398,2773
220,273750,383,-1557,7861,886,-258,3066
221,275000,383,-1557,7861,-2051,2178,2730
222,276250,383,-1557,7861,-4812,4563,1772
223,277500,383,-1557,7861,-6808,6527,523
224,278750,383,-1557,7861,-7678,7550,-829
225,280000,383,-1557,7861,-7397,7529,-2192
226,281250,383,-1557,7861,-6021,6640,-3242
227,282500,383,-1557,7861,-3622,4946,-3853
228,283750,383,-1557,7861,-724,2854,-3991
229,285000,383,-1557,7861,2241,701,-3491
